#OTU	JL304_B12_1A	JL315_B01_4A
Zotu1	60940	0
Zotu10	942	0
Zotu100	0	137
Zotu101	114	0
Zotu102	117	0
Zotu103	0	121
Zotu104	0	107
Zotu105	0	107
Zotu106	96	0
Zotu107	0	92
Zotu108	0	95
Zotu109	0	96
Zotu11	0	896
Zotu110	0	85
Zotu111	96	0
Zotu112	0	109
Zotu113	0	102
Zotu114	89	0
Zotu115	0	89
Zotu116	0	90
Zotu117	0	87
Zotu118	0	82
Zotu119	0	82
Zotu12	0	869
Zotu120	0	99
Zotu121	0	79
Zotu122	0	103
Zotu123	0	85
Zotu124	0	83
Zotu125	0	79
Zotu126	3	78
Zotu127	0	185
Zotu128	51	35
Zotu129	77	0
Zotu13	24	740
Zotu130	0	73
Zotu131	89	0
Zotu132	0	69
Zotu133	0	75
Zotu134	0	74
Zotu135	0	70
Zotu136	75	0
Zotu137	74	0
Zotu138	0	60
Zotu139	0	71
Zotu14	729	0
Zotu140	0	63
Zotu141	0	62
Zotu142	16	53
Zotu143	0	61
Zotu144	0	71
Zotu145	0	73
Zotu146	0	71
Zotu147	69	0
Zotu148	64	0
Zotu149	1	57
Zotu15	635	0
Zotu150	0	76
Zotu151	0	59
Zotu152	67	0
Zotu153	69	0
Zotu154	0	66
Zotu155	64	0
Zotu156	0	55
Zotu157	0	59
Zotu158	60	0
Zotu159	68	0
Zotu16	606	0
Zotu160	65	0
Zotu161	76	0
Zotu162	0	53
Zotu163	0	58
Zotu164	64	0
Zotu165	54	0
Zotu166	0	53
Zotu167	7	60
Zotu168	0	54
Zotu169	68	0
Zotu17	0	611
Zotu170	0	50
Zotu171	0	50
Zotu172	0	47
Zotu173	0	52
Zotu174	12	47
Zotu175	0	51
Zotu176	0	46
Zotu177	0	52
Zotu178	0	46
Zotu179	0	47
Zotu18	0	560
Zotu180	0	45
Zotu181	0	46
Zotu182	0	47
Zotu183	0	50
Zotu184	76	0
Zotu185	49	0
Zotu186	54	0
Zotu187	0	49
Zotu188	61	0
Zotu189	0	45
Zotu19	533	0
Zotu190	43	0
